time_s,cx,cy,cz,theta,FB,FB_group,LR,height,spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone
14.55,0.0,0.9999999179993507,1.2615484505607831e-08,1.5707963267948966,0.9999999179993507,0.9999999243070931,0.0,2.5230969011215665e-08,0.00040497072942330647,0.0,0.9999999179993507,1.2615484505607831e-08,0.9999999179919146,4.404027142967948e-09,front_center_mid
14.56,0.0,0.9999999180493193,1.2607797030505042e-08,1.5707963267948966,0.9999999180493193,0.9999999243532178,0.0,2.5215594061010088e-08,0.0004048473224830503,0.0,0.9999999180493193,1.2607797030505042e-08,0.9999999180328106,3.3883507111198696e-09,front_center_mid
14.57,0.0,0.9999999180821276,1.2602749615709803e-08,1.5707963267948966,0.9999999180821276,0.9999999243835024,0.0,2.520549923141961e-08,0.0004047662759357063,0.0,0.9999999180821276,1.2602749615709803e-08,0.9999999180596816,1.7322365764016467e-09,front_center_mid
14.58,0.0,0.9999999180916106,1.2601290693461521e-08,1.5707963267948966,0.9999999180916106,0.9999999243922558,0.0,2.5202581386923045e-08,0.00040474284693768587,0.0,0.9999999180916106,1.2601290693461521e-08,0.9999999180674554,-2.5089930133503913e-10,front_center_mid
14.59,0.0,0.9999999180759995,1.2603692353417168e-08,1.5707963267948966,0.9999999180759995,0.9999999243778458,0.0,2.520738470683434e-08,0.0004047814147463151,0.0,0.9999999180759995,1.2603692353417168e-08,0.9999999180546636,-2.1867951893739246e-09,front_center_mid
14.6,0.0,0.9999999180382199,1.2609504652079878e-08,1.5707963267948966,0.9999999180382199,0.9999999243429721,0.0,2.521900930415976e-08,0.00040487473816021844,0.0,0.9999999180382199,1.2609504652079878e-08,0.9999999180237195,-3.7096714589068824e-09,front_center_mid
14.61,0.0,0.9999999179853604,1.2617636880791094e-08,1.5707963267948966,0.9999999179853604,0.9999999242941788,0.0,2.523527376158219e-08,0.00040500527473685865,0.0,0.9999999179853604,1.2617636880791094e-08,0.9999999179804702,-4.530914532452357e-09,front_center_mid
14.620000000000001,0.0,0.9999999179274072,1.2626552756766018e-08,1.5707963267948966,0.9999999179274072,0.9999999242406836,0.0,2.525310551353204e-08,0.00040514834189790027,0.0,0.9999999179274072,1.2626552756766018e-08,0.9999999179331012,-4.493327931953672e-09,front_center_mid
14.63,0.0,0.9999999178753639,1.2634559424451957e-08,1.5707963267948966,0.9999999178753639,0.9999999241926435,0.0,2.5269118848903918e-08,0.0004052767765537368,0.0,0.9999999178753639,1.2634559424451957e-08,0.9999999178906036,-3.6017355764528247e-09,front_center_mid
14.64,0.0,0.9999999178391547,1.2640130060129641e-08,1.5707963267948966,0.9999999178391547,0.9999999241592197,0.0,2.5280260120259285e-08,0.0004053661109065581,0.0,0.9999999178391547,1.2640130060129641e-08,0.9999999178610665,-2.0240753517697385e-09,front_center_mid
14.65,0.0,0.999999917825732,1.2642195094622774e-08,1.5707963267948966,0.999999917825732,0.9999999241468295,0.0,2.5284390189245552e-08,0.00040539922214733056,0.0,0.999999917825732,1.2642195094622774e-08,0.9999999178501221,-6.032396804300788e-11,front_center_mid
14.66,0.0,0.9999999178376743,1.2640357804340196e-08,1.5707963267948966,0.9999999178376743,0.9999999241578531,0.0,2.5280715608680395e-08,0.00040536976274260534,0.0,0.9999999178376743,1.2640357804340196e-08,0.99999991785986,1.9149348773339625e-09,front_center_mid
