time_s,cx,cy,cz,theta,bed_FB,FB_group,bed_LR,bed_height,bed_spread,x_lr,y_fb,z_height,cy_smooth,cy_speed,zone,obj_cx,obj_cy,obj_cz,obj_spread
0.63,0.0,-0.7189517736222445,7.586952492996894e-09,-1.5707963267948966,-0.7189363727244857,-0.8301739992111115,0.0,1.5172498659940318e-08,0.6950754781400812,0.0,-0.7189517736222445,7.586952492996894e-09,-0.718917291302227,0.2521870485948263,rear_center_mid,0.0,-0.874003181444313,0.0,0.0
0.64,0.0,-0.7164141984139942,7.562905657118796e-09,-1.5707963267948966,-0.716337071218681,-0.8272438597546903,0.0,1.51230764401053e-08,0.697752164111771,0.0,-0.7164141984139942,7.562905657118796e-09,-0.7163781690961116,0.254006514350058,rear_center_mid,0.0,-0.8720032166507328,0.0,0.0
0.65,0.0,-0.7138405533286728,7.536386181605495e-09,-1.5707963267948966,-0.7137241406254942,-0.8242720703920756,0.0,1.5069417705257437e-08,0.70042310697325,0.0,-0.7138405533286728,7.536386181605495e-09,-0.7138371610152259,0.2480632474829769,rear_center_mid,0.0,-0.8700032463628216,0.0,0.0
0.66,0.0,-0.7112294479647314,7.508047294306455e-09,-1.5707963267948966,-0.7112427005351284,-0.8212570256257768,0.0,1.501622900604526e-08,0.7029434929072075,0.0,-0.7112294479647314,7.508047294306455e-09,-0.7114169041464521,0.2312098290821462,rear_center_mid,0.0,-0.86800330249928,0.0,0.0
0.67,0.0,-0.7087498317464862,7.480814185654974e-09,-1.5707963267948966,-0.7089930736037351,-0.8183938114466793,0.0,1.4967646751328635e-08,0.7052148957549631,0.0,-0.7087498317464862,7.480814185654974e-09,-0.709212964433583,0.2090916933099151,rear_center_mid,0.0,-0.8660034071603102,0.0,0.0
0.68,0.0,-0.7068504892783753,7.460998701836406e-09,-1.5707963267948966,-0.7070230089892264,-0.816200639678429,0.0,1.4926716204431452e-08,0.7071924724240893,0.0,-0.7068504892783753,7.460998701836406e-09,-0.7072350702802538,0.1862127857617912,rear_center_mid,0.0,-0.8640033924881148,0.0,0.0
0.6900000000000001,0.0,-0.7053944998496489,7.447863815317756e-09,-1.5707963267948966,-0.7053265047407188,-0.8145194079026917,0.0,1.4895002821980101e-08,0.7088855418342992,0.0,-0.7053944998496489,7.447863815317756e-09,-0.7054887087183471,0.1644664290231301,rear_center_mid,0.0,-0.8620034441213903,0.0,0.0
0.7000000000000001,0.0,-0.703951082562027,7.4369146080528844e-09,-1.5707963267948966,-0.7038425180607515,-0.8128526931848089,0.0,1.4872246075349041e-08,0.710358250006003,0.0,-0.703951082562027,7.4369146080528844e-09,-0.7039457416997912,0.1500152511751284,rear_center_mid,0.0,-0.8600035463962947,0.0,0.0
0.71,0.0,-0.7024976401551979,7.428121533636878e-09,-1.5707963267948966,-0.7024536156114849,-0.8111744024561359,0.0,1.4856112333659698e-08,0.7117302664662367,0.0,-0.7024976401551979,7.428121533636878e-09,-0.7024884036948446,0.1459670713718386,rear_center_mid,0.0,-0.8580035294926432,0.0,0.0
0.72,0.0,-0.7010349966537068,7.421305583569233e-09,-1.5707963267948966,-0.7010331612365643,-0.8094854872182793,0.0,1.484323240519175e-08,0.7131286991276354,0.0,-0.7010349966537068,7.421305583569233e-09,-0.7010264002723544,0.1466392600194099,rear_center_mid,0.0,-0.8560036197721314,0.0,0.0
0.73,0.0,-0.6995637992536419,7.415894353713929e-09,-1.5707963267948966,-0.6995641935171469,-0.807786694788975,0.0,1.4832085068355055e-08,0.7145697533100805,0.0,-0.6995637992536419,7.415894353713929e-09,-0.6995556184944564,0.147500020859248,rear_center_mid,0.0,-0.854003697041333,0.0,0.0
0.74,0.0,-0.6980844827371986,7.41102583416207e-09,-1.5707963267948966,-0.6980849187140983,-0.8060785272115558,0.0,1.4821911779807051e-08,0.7160149778279116,0.0,-0.6980844827371986,7.41102583416207e-09,-0.6980763998551694,0.1483407097667921,rear_center_mid,0.0,-0.8520036632062176,0.0,0.0
0.75,0.0,-0.6965971736725367,7.405709547234926e-09,-1.5707963267948966,-0.696597543499286,-0.8043611306344564,0.0,1.4810863887231187e-08,0.7174621058990672,0.0,-0.6965971736725367,7.405709547234926e-09,-0.6965888042991205,0.1491899179405453,rear_center_mid,0.0,-0.8500037745480915,0.0,0.0
0.76,0.0,-0.6951015469587628,7.399013149115988e-09,-1.5707963267948966,-0.6951017950116444,-0.8026341296636056,0.0,1.4797159823790699e-08,0.7189113384197271,0.0,-0.6951015469587628,7.399013149115988e-09,-0.6950926014963585,0.1500755807797127,rear_center_mid,0.0,-0.8480038470297291,0.0,0.0
